game_id,elo_bot,elo_player_a,elo_player_b,bot_position,1st_points,2nd_points,3rd_points
157005329,109,0,227,2,48,40,36
157017332,114,241,239,2,65,54,52
157029540,100,132,125,3,60,49,43
157028743,100,101,146,3,51,45,42
157024795,100,146,197,3,55,49,45
157027728,102,172,104,2,48,39,32
157035942,106,210,180,2,61,59,47
157036664,123,100,201,1,53,52,43
157058039,112,125,274,2,53,52,52
157060070,100,185,198,3,62,51,42
157064805,100,185,299,3,63,54,44
157067776,119,184,172,1,57,56,53
157069748,120,156,126,2,68,55,48
157063269,102,96,65,3,46,39,32
157079990,103,100,145,2,63,47,42
157076742,100,140,160,3,62,45,28
157076144,100,126,116,3,57,55,42
157078826,101,130,101,2,66,59,56
157074698,100,146,1,2,46,43,27
157073099,100,62,165,3,64,57,41
157083441,100,61,145,2,55,47,44
157085962,100,61,151,3,61,56,46
157080483,100,159,144,3,66,62,40
157083586,100,261,108,3,60,51,45
157088857,100,245,281,3,58,52,35
157086058,116,107,136,1,60,60,44
157081059,129,100,1,1,54,47,36
157096660,128,167,67,2,45,41,39
157237477,114,119,186,3,60,55,30
157249620,115,136,170,2,54,44,39
157246553,100,141,132,3,65,53,36
157249575,100,123,1,2,75,55,37
157248428,100,111,154,3,63,50,39
157250740,100,113,145,3,63,42,41
157269033,100,61,146,3,56,53,31
157266595,100,143,144,3,64,45,37
157263119,102,100,193,2,53,47,44
157270942,100,206,162,3,44,43,35
157278446,102,111,197,2,49,46,44
157288780,121,101,100,1,52,49,36
157287953,107,187,135,3,64,51,43
157283976,100,159,154,3,52,41,36
157295620,101,126,132,2,53,46,41
157291433,100,188,132,3,59,55,49
157294765,100,199,133,3,61,46,41
157308422,100,147,153,3,56,52,47
157307905,100,158,1,2,49,45,44
157307488,100,184,157,3,62,39,32
157311261,113,100,9,1,48,47,42
157315835,100,149,133,3,66,52,49
