,deep-q,deep-q-v2,neural-network,ruled-based
Total VP, 44.28, 43.8, 43.5, 35.1
VP from Military Conflicts (Victory), 8.16, 6.2, 9.2, 5.7
VP from Military Conflicts (Defeat), -1.78, -2.7, -1.9, -2.6
VP from Treasury Contents, 3.84, 4.15, 3.6, 1.7
VP from Wonder, 5.82, 7.6, 4.1, 6.1
VP from Civilian Structures, 14.62, 14.4, 16.2, 14.5
VP from Scientific Structures, 4.96, 4.55, 6.3, 4.2
VP from Commercial Structures, 4.5, 5.5, 4.4, 3.1
VP from Guilds, 4.16, 4.1, 1.6, 2.4
Constructed stages of the Wonder, 2.22, 2.65, 2.1, 2.6
Cards discarded, 0.84, 0.6, 0.8, 1.2
Chained constructions, 0.94, 1.3, 2.2, 1.4
Coins spent on commerce, 10.98, 10.2, 12.4, 13.1
Coins gained through commerce, 10.2, 9.1, 10.0, 8.2
Shields, 4.18, 3.85, 4.9, 5.0
Wonder ID, 10.56, 9.35, 9.9, 9.6
Civilian Structures, 2.28, 2.2, 3.3, 3.0
Scientific Structures, 1.52, 1.45, 1.9, 1.8
Guilds, 0.72, 0.65, 0.6, 0.6
Military Structures, 2.54, 1.9, 2.6, 2.7
Commercial Structures, 2.66, 3.45, 3.7, 2.2
Raw Materials, 3.1, 3.25, 2.0, 2.0
Manufactured Goods, 2.58, 2.25, 2.0, 2.4
Total matches, 50, 20, 10, 10
